Number	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	COL2215_B1_1	COL2215_B1_2	COL2215_B1_3	COL2215_Coinoculation_1	COL2215_Coinoculation_2	COL2215_Coinoculation_3	COL2215_DAOM197198_1	COL2215_DAOM197198_2	COL2215_DAOM197198_3
20	Rhiir2_1|1548439	258.149628009949	6.24935671938207	0.421612922307471	14.8224980514819	1.04812927522061e-49	9.63073584536456e-47	3.21266972697455	7.88470716219987	9.08150056791654	186.191360228087	307.483975100508	287.843825583835	371.023728822853	559.700839798976	590.924045098187
21	Rhiir2_1|1510375	1920.96991748612	6.56309147599843	0.443396851621661	14.8018450108404	1.42519010566041e-49	1.24717707484387e-46	40.1583715871819	39.4235358109993	25.4282015901663	1160.70669059619	2440.10497383332	3631.04455102341	2479.85712867628	5199.22101541835	2272.78478883918
22	Rhiir2_1|1844542	260.420972786377	-6.85724654434313	0.469217016132891	-14.6142324523053	2.27908386755574e-48	1.90376019245781e-45	700.362000480453	537.737028462031	544.890034074992	170.817761677144	200.962740869261	174.110411572661	5.45623130621843	3.99786314142126	5.45468349321403
23	Rhiir2_1|1789405	1766.98687287005	11.7111172557001	0.804016399333297	14.5657691378076	4.6373567110985e-48	3.7052480121677e-45	0	3.15388286487995	0	1011.24114912869	1501.18069272284	2310.47324389366	3717.0575773613	4631.52444933653	2728.25086052255
24	Rhiir2_1|946534	154.20685779935	6.10729265361859	0.422537191195448	14.4538582185861	2.3702779972538e-47	1.81494161481388e-44	3.21266972697455	5.51929501353991	5.44890034074992	111.031545090144	128.484375309855	160.06924934906	291.908374882686	345.815161732939	336.372148748199
25	Rhiir2_1|1869401	205.032733123337	5.33166353532521	0.370579197201404	14.3873794740495	6.21048232883825e-47	4.56520135028242e-44	8.03167431743639	11.8270607432998	11.8059507382915	216.084468521587	195.471955599609	127.072518123596	488.332701906549	465.751055975577	320.917212184092
26	Rhiir2_1|1560555	326.901515225128	5.75610595250571	0.400991839807576	14.3546710458445	9.95969734729874e-47	7.03959069812727e-44	13.6538463396419	11.0385900270798	6.35705039754158	266.475708216345	382.158654767774	572.87941872295	504.701395825205	485.740371682683	699.108601046932
27	Rhiir2_1|1478076	282.579779992715	-3.1469547906618	0.220443619448792	-14.2755539875938	3.10808054054229e-46	2.11545170716836e-43	492.34163565885	445.485954664293	503.115131462576	279.287040342131	320.661859747673	339.796125811162	46.3779661028566	57.9690155506083	58.183290594283
28	Rhiir2_1|1682879	269.544855067006	7.76228127622467	0.544098024105108	14.2663287355096	3.54769684203359e-46	2.32842945950183e-43	3.21266972697455	3.94235358109994	0	205.835402820959	278.931891698318	317.330266253399	489.696759733104	619.668786920295	507.285564868905
29	Rhiir2_1|1674323	898.794457266691	-4.37065073974669	0.308082006372544	-14.1866472216542	1.10832352401388e-45	7.02333151751829e-43	1984.62672383853	1285.9957381548	2326.68044550022	921.561824248192	689.642629868282	606.578208059594	99.5762213384863	109.941236389085	64.5470880030327
