number	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	COL2215_Coinoculation_1	COL2215_Coinoculation_2	COL2215_Coinoculation_3	COL2215_DAOM197198_1	COL2215_DAOM197198_2	COL2215_DAOM197198_3
48 Rhiir2_1|1792490 93.5282177876607 -7.87887300295553 1.07758555388581 -7.31159857752736 2.63982750716e-13 9.62987076049407e-11 254.266895397686 185.772877828965 118.651006720489 2.47852677882351 0 0
49 Rhiir2_1|1838778 112.73593331956 -2.0739967412739 0.284038062739273 -7.30182680895724 2.83886546697258e-13 1.01445988421816e-10 179.575994874616 173.524116653429 193.689751511285 39.6564284611762 43.8993541020827 46.0699543147726
50 Rhiir2_1|828985 68.5323850027419 -3.22473140982526 0.442245809400765 -7.29171727866617 3.06028843634882e-13 1.07171301040936e-10 137.463040324374 121.4668816574 114.802865961987 17.3496874517646 3.65827950850689 16.4535551124188
51 Rhiir2_1|1759439 836.015420140551 -2.23638872348762 0.307022201197227 -7.28412705910801 3.2375977423746e-13 1.11157522488195e-10 1200.61649670595 1249.37363990469 1688.69243618945 421.349552399997 215.838491001906 240.221904641314
52 Rhiir2_1|1486903 59.9612454968623 -9.04625354101453 1.24265069542109 -7.27980403048751 3.34305444818654e-13 1.1257092959182e-10 136.668456276256 137.798563224782 85.3004534801356 0 0 0
53 Rhiir2_1|1651511 584.271788584822 -2.46883809305229 0.340588273763141 -7.24874660473255 4.20645999849313e-13 1.38971914289839e-10 805.708224791418 1015.62644747154 1149.31137320604 99.1410711529404 186.572254933851 249.271359953145
54 Rhiir2_1|1631556 156.915642516178 2.30808941627014 0.321170005822444 7.18650364114683 6.647151823418e-13 2.15540052644535e-10 45.2912907427128 47.9743146041833 64.1356793083726 184.650245022352 316.441177485846 283.001147933603
55 Rhiir2_1|1770262 58.2555756496284 -5.07298892076031 0.710963518396377 -7.13537163229241 9.65260054707872e-13 3.07303701053361e-10 138.257624372492 129.632722441091 70.5492472392099 7.43558033647053 3.65827950850689 0
56 Rhiir2_1|1696169 1455.81633137367 1.66889226434017 0.234445556369993 7.11846404845646 1.09136394464254e-12 3.41246119119479e-10 658.71017588963 778.817064744508 651.618501773066 1997.69258373175 2807.72952277904 1840.33013932404
57 Rhiir2_1|1884547 99.1346300762964 -2.57113845495498 0.364106676001392 -7.06149769949605 1.64717472296586e-12 5.0600051577425e-10 150.176385094258 206.187479788192 155.208343926262 32.2208481247056 16.462257788281 34.5524657360794
