"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"COL2215_B1_1"	"COL2215_B1_2"	"COL2215_B1_3"	"COL2215_Coinoculation_1"	"COL2215_Coinoculation_2"	"COL2215_Coinoculation_3"	"COL2215_DAOM197198_1"	"COL2215_DAOM197198_2"	"COL2215_DAOM197198_3"
"15"	"cds-GBC43469.1"	430.993004130632	7.62537040452724	0.447011384908165	17.0585597189964	3.019074351188e-65	4.06790078079071e-62	3.17623385042239	5.54868618541898	5.42977629370083	287.76529149641	378.639571521692	411.620351416406	757.571339885092	1242.11666191429	787.069124612261
"16"	"cds-GBC52266.1"	865.549488007192	9.35081455017003	0.555341591782494	16.8379510710813	1.28613228005599e-63	1.62462621951322e-60	3.17623385042239	3.17067782023942	1.80992543123361	563.716172198246	887.098424707965	937.503208409942	1431.42555706549	2523.76467487778	1438.28051770342
"17"	"cds-GBC29285.1"	821.313201073142	-3.61800516527966	0.219349275775629	-16.4942653787491	4.03436489369731e-61	4.79638522744214e-58	1566.67734672085	1185.83350476954	1421.696426234	841.354825870735	1116.44582231539	922.359984779238	118.027418895141	99.8686763348172	119.554803738571
"18"	"cds-GBC23666.1"	1142.6324842774	-8.29648224884911	0.504183725433132	-16.4552757860675	7.68709526846749e-61	8.63132680394425e-58	3069.83001643324	2389.1057375504	2658.78045848217	363.715075175814	762.688279779409	1012.53099821661	15.0965303237971	8.3223896945681	3.62287284056277
"19"	"cds-GBC29330.1"	3072.96897323837	-5.63016894109181	0.354708329404639	-15.8726719232722	9.79794369177918e-57	1.04224336818184e-53	5444.06481962398	6084.53073703944	5949.22489246488	3437.99354122104	3340.68284816853	3044.47627811833	46.6620028190093	176.850781009572	132.234858680541
"20"	"cds-GBC43267.1"	687.480440227218	-6.86484362359545	0.432617117842263	-15.868173820386	1.05259175175642e-56	1.06369659473745e-53	1855.71462710928	1225.46697752253	1376.44829045316	462.44979395904	761.606452432204	471.504917592371	8.23447108570752	4.16119484728405	21.7372370433766
"21"	"cds-GBC44441.1"	2940.58339156812	12.462805656788	0.806738142286286	15.4483902564326	7.7351194669222e-54	7.44449997837927e-51	0	1.58533891011971	1.80992543123361	1609.29152751805	2562.84898552825	3550.39761305321	4866.57241165314	8967.37489589712	4905.36982612199
"22"	"cds-GBC35585.1"	215.448257519165	6.68753238633742	0.434740381413087	15.382818510211	2.13450008738457e-53	1.96092642118771e-50	3.17623385042239	4.75601673035912	5.42977629370083	147.680134932175	184.992476372027	225.083369420008	411.723554285376	495.182186826802	461.010568961612
"23"	"cds-GBC22550.1"	254.007587746984	4.98072272013239	0.325629907273767	15.2956550024287	8.17343489738999e-53	7.18231707439778e-50	11.910876939084	14.2680501910774	19.9091797435697	204.220529449065	245.574807815498	342.787516731388	474.8544992758	530.552343028716	441.990486548657
"24"	"cds-GBC50353.1"	625.30260253521	-4.19719174376727	0.276434515008676	-15.1833129218164	4.56148916559673e-52	3.84134406357815e-49	917.137524309466	1533.02272608576	1167.40190314568	592.408312699354	644.769098934082	574.065841273048	48.0344146666272	81.1432995220389	69.7403021808332
