"Gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"COL2215_Coinoculation_1"	"COL2215_Coinoculation_2"	"COL2215_Coinoculation_3"	"COL2215_DAOM197198_1"	"COL2215_DAOM197198_2"	"COL2215_DAOM197198_3"
"11"	"cds-GBC18298.1"	125.524533825646	-4.37654354259061	0.428767197904318	-10.2072723006373	1.83963765142759e-24	3.16434400024195e-21	282.753398152925	183.383846562138	249.935180836525	9.95512145424681	18.9397144059436	8.17994154209554
"12"	"cds-GBC27660.1"	173.869758276859	-3.8454482529048	0.38430121327934	-10.0063390903469	1.42944540623129e-23	2.25387804427519e-20	273.275630617072	304.296272866845	397.140111905656	34.8429250898638	18.9397144059436	14.723894775772
"13"	"cds-GBC29287.1"	782.375139270383	-3.01338856125454	0.302529517590251	-9.96064313081642	2.2659211278336e-23	3.2979610507492e-20	1157.86726729661	1795.54953062489	1219.6085140068	159.281943267949	231.064515752512	130.879064673529
"14"	"cds-GBC38268.1"	107.272574012214	-4.37743614416284	0.44420805441363	-9.8544726973517	6.55599098813523e-23	8.86042182046476e-20	216.409025401959	239.809645504334	159.733010309057	12.4439018178085	3.78794288118872	11.4519181589338
"15"	"cds-GBC46719.1"	85.0205142605902	-5.14440058942927	0.524484719468332	-9.80848516357946	1.03510732982016e-22	1.30568438583515e-19	157.962792264204	184.391450114677	154.095374651091	4.97756072712341	3.78794288118872	4.90796492525732
"16"	"cds-GBC20422.1"	230.403589442487	-3.77849695106944	0.388039613270631	-9.7374000536234	2.08828804789117e-22	2.4695311346343e-19	398.066236505793	473.573669693434	414.679422841553	47.2868269076724	34.0914859306985	14.723894775772
"17"	"cds-GBC31102.1"	117.061406357799	-4.6416828169905	0.483064759810399	-9.60882101772927	7.33844086941366e-22	8.16768468765741e-19	210.090513711391	216.634763795932	244.923949140555	4.97756072712341	20.8336858465379	4.90796492525732
"18"	"cds-GBC22135.1"	380.221072960283	-3.02329728643803	0.315922359872268	-9.56974773061454	1.07166841799439e-21	1.1265021187151e-18	852.9990782267	632.77503099463	542.465831088798	90.8404832700022	104.16842923269	58.0775849488783
"19"	"cds-GBC43959.1"	136.728166569008	-3.4863995674724	0.372994367703184	-9.34705687096797	9.01204934421871e-21	8.97457819168222e-18	317.505212451049	255.931302344962	180.404341054935	21.1546330902745	20.8336858465379	24.5398246262866
"20"	"cds-GBC27732.1"	128.548231624592	-4.46559032437482	0.479354578066385	-9.31583952402848	1.20991860653304e-20	1.14464349771059e-17	235.364560473664	320.417929707472	184.789168788909	6.22195090890426	5.68191432178308	18.8138655468197
"21"	"cds-GBC13684.1"	253.689979986969	-3.99992211423944	0.431324938929593	-9.27357023260916	1.80017107519014e-20	1.60917432090022e-17	406.754190080325	254.923698792423	771.103277217449	29.8653643627404	28.4095716089154	31.0837778599631
"22"	"cds-GBC29284.1"	204.291988932866	-2.75339648015874	0.29703980937781	-9.26945275761554	1.87103403941677e-20	1.60917432090022e-17	309.607072837839	399.011006805531	357.676662299889	64.7082894526043	53.0312003366421	41.7177018646873
"23"	"cds-GBC27163.1"	634.203285376252	1.97838290013386	0.214816370877871	9.2096467883196	3.27199816460007e-20	2.69171640314773e-17	266.167304965183	268.022544975433	236.154293672606	892.22776033687	1119.33712139127	1023.31068691615
"24"	"cds-GBC31740.1"	132.294077924233	-3.78599544797897	0.416837618834524	-9.08266259308504	1.05950652805696e-19	8.35288459056905e-17	249.581211777442	334.524379443021	156.600990499076	19.9102429084936	15.1517715247549	17.9958713926102
"25"	"cds-GBC36457.1"	261.142259375827	-3.71314991993818	0.409158039855238	-9.07509949273369	1.13573691661414e-19	8.59571127970243e-17	617.634517753036	452.41399509011	381.480012855749	26.1321938173979	66.2890004208026	22.9038363178675
"26"	"cds-GBC26551.1"	117.994336251092	-5.28163896056974	0.60197731379854	-8.77381728431267	1.72709387411553e-18	1.25685935354384e-15	300.129305301987	241.824852609413	145.952123145139	0	15.1517715247549	4.90796492525732
"27"	"cds-GBC11394.1"	164.533139311862	-2.48986090359037	0.284391850035318	-8.75503606478582	2.04038230508952e-18	1.42985457757773e-15	253.530281584047	287.167012473678	296.915477986248	42.309266180549	54.9251717772364	52.3516258694115
"28"	"cds-GBC46830.1"	202.566216387126	2.25592238987385	0.258300692020865	8.7337063335921	2.46460498818157e-18	1.66545682076369e-15	82.1406519773859	66.5018344675885	62.013992237634	350.9180312622	320.081173460447	333.741614917498
"29"	"cds-GBC41325.1"	243.857893224819	-2.91787966392314	0.334915333805711	-8.71229044895221	2.97795470016739e-18	1.94296140971956e-15	485.735586212426	421.178284961394	385.864840589723	32.3541447263021	64.3950289802082	73.6194738788599
"30"	"cds-GBC25477.1"	218.582130084009	-3.30638329137187	0.37999795585331	-8.70105546738317	3.28811491490879e-18	2.07381407683298e-15	506.270749206773	382.889349964904	302.553113644214	21.1546330902745	45.4553145742646	53.169620023621
"31"	"cds-GBC29313.1"	77.8668966854953	-4.66593814837781	0.545393574929225	-8.55517623027243	1.17688797818688e-17	7.18319272105614e-15	195.873862407613	124.942840514863	130.292024095231	2.4887803635617	3.78794288118872	9.81592985051465
"32"	"cds-GBC22979.1"	288.167983345622	-3.14813999484422	0.370130683409903	-8.50548234975103	1.80842133312067e-17	1.06928562637426e-14	663.443727509656	419.163077856316	470.429375459224	29.8653643627404	75.7588576237744	70.3474972620217
"33"	"cds-GBC18459.1"	78.7841034323966	-3.67861304711799	0.443397462554026	-8.29642331719427	1.07292722606908e-16	6.15177455892515e-14	127.949861734005	135.018876040256	173.513897472976	7.46634109068511	18.9397144059436	9.81592985051465
"34"	"cds-GBC19209.1"	135.852818548349	-10.2117141107854	1.2328749347331	-8.28284672118514	1.20265175774082e-16	6.69275703182768e-14	348.307956942569	285.151805368599	181.657148978928	0	0	0
"35"	"cds-GBC15150.1"	118.781991306619	-3.56035506019928	0.432108943228832	-8.23948477806399	1.72953811796094e-16	9.34988306569684e-14	268.536746849146	192.452278534991	192.932420294861	9.95512145424681	34.0914859306985	14.723894775772
"36"	"cds-GBC46838.1"	123.82524557202	-4.8536810649236	0.589612555004071	-8.23198390829735	1.84137995341184e-16	9.67798613847371e-14	311.186700760481	211.596746033236	191.679612370869	2.4887803635617	22.7276572871323	3.27197661683822
